PING 10.10.18.1 (10.10.18.1) 56(84) bytes of data.
64 bytes from 10.10.18.1: icmp_seq=1 ttl=63 time=14023 ms
64 bytes from 10.10.18.1: icmp_seq=4 ttl=63 time=11172 ms
64 bytes from 10.10.18.1: icmp_seq=8 ttl=63 time=7960 ms
64 bytes from 10.10.18.1: icmp_seq=5 ttl=63 time=11738 ms
64 bytes from 10.10.18.1: icmp_seq=9 ttl=63 time=7777 ms
64 bytes from 10.10.18.1: icmp_seq=16 ttl=63 time=1079 ms
64 bytes from 10.10.18.1: icmp_seq=17 ttl=63 time=79.4 ms
64 bytes from 10.10.18.1: icmp_seq=18 ttl=63 time=0.040 ms
64 bytes from 10.10.18.1: icmp_seq=19 ttl=63 time=0.043 ms
64 bytes from 10.10.18.1: icmp_seq=20 ttl=63 time=0.096 ms
64 bytes from 10.10.18.1: icmp_seq=21 ttl=63 time=0.083 ms
64 bytes from 10.10.18.1: icmp_seq=22 ttl=63 time=0.049 ms
64 bytes from 10.10.18.1: icmp_seq=23 ttl=63 time=0.038 ms
64 bytes from 10.10.18.1: icmp_seq=24 ttl=63 time=0.034 ms
64 bytes from 10.10.18.1: icmp_seq=25 ttl=63 time=0.058 ms
64 bytes from 10.10.18.1: icmp_seq=26 ttl=63 time=0.121 ms
64 bytes from 10.10.18.1: icmp_seq=27 ttl=63 time=0.043 ms
64 bytes from 10.10.18.1: icmp_seq=28 ttl=63 time=0.068 ms
64 bytes from 10.10.18.1: icmp_seq=29 ttl=63 time=0.033 ms
64 bytes from 10.10.18.1: icmp_seq=30 ttl=63 time=0.041 ms
64 bytes from 10.10.18.1: icmp_seq=31 ttl=63 time=0.033 ms
64 bytes from 10.10.18.1: icmp_seq=32 ttl=63 time=0.055 ms
64 bytes from 10.10.18.1: icmp_seq=33 ttl=63 time=0.028 ms
64 bytes from 10.10.18.1: icmp_seq=34 ttl=63 time=0.043 ms
64 bytes from 10.10.18.1: icmp_seq=35 ttl=63 time=0.039 ms
64 bytes from 10.10.18.1: icmp_seq=36 ttl=63 time=0.030 ms
64 bytes from 10.10.18.1: icmp_seq=37 ttl=63 time=0.054 ms
64 bytes from 10.10.18.1: icmp_seq=38 ttl=63 time=0.039 ms
64 bytes from 10.10.18.1: icmp_seq=39 ttl=63 time=0.037 ms
64 bytes from 10.10.18.1: icmp_seq=40 ttl=63 time=0.052 ms
64 bytes from 10.10.18.1: icmp_seq=41 ttl=63 time=0.036 ms
64 bytes from 10.10.18.1: icmp_seq=42 ttl=63 time=0.047 ms
64 bytes from 10.10.18.1: icmp_seq=43 ttl=63 time=0.035 ms
64 bytes from 10.10.18.1: icmp_seq=44 ttl=63 time=0.048 ms
64 bytes from 10.10.18.1: icmp_seq=45 ttl=63 time=0.038 ms
64 bytes from 10.10.18.1: icmp_seq=46 ttl=63 time=0.062 ms
64 bytes from 10.10.18.1: icmp_seq=47 ttl=63 time=0.048 ms
64 bytes from 10.10.18.1: icmp_seq=48 ttl=63 time=0.036 ms
64 bytes from 10.10.18.1: icmp_seq=49 ttl=63 time=0.041 ms
64 bytes from 10.10.18.1: icmp_seq=50 ttl=63 time=0.042 ms
