PING 10.10.16.1 (10.10.16.1) 56(84) bytes of data.
64 bytes from 10.10.16.1: icmp_seq=1 ttl=64 time=0.014 ms
64 bytes from 10.10.16.1: icmp_seq=2 ttl=64 time=0.058 ms
64 bytes from 10.10.16.1: icmp_seq=3 ttl=64 time=0.025 ms
64 bytes from 10.10.16.1: icmp_seq=4 ttl=64 time=0.051 ms
64 bytes from 10.10.16.1: icmp_seq=5 ttl=64 time=0.041 ms
64 bytes from 10.10.16.1: icmp_seq=6 ttl=64 time=0.063 ms
64 bytes from 10.10.16.1: icmp_seq=7 ttl=64 time=0.095 ms
64 bytes from 10.10.16.1: icmp_seq=8 ttl=64 time=0.037 ms
64 bytes from 10.10.16.1: icmp_seq=9 ttl=64 time=0.142 ms
64 bytes from 10.10.16.1: icmp_seq=10 ttl=64 time=0.218 ms
64 bytes from 10.10.16.1: icmp_seq=11 ttl=64 time=0.075 ms
64 bytes from 10.10.16.1: icmp_seq=12 ttl=64 time=0.059 ms
64 bytes from 10.10.16.1: icmp_seq=13 ttl=64 time=0.030 ms
64 bytes from 10.10.16.1: icmp_seq=14 ttl=64 time=0.103 ms
64 bytes from 10.10.16.1: icmp_seq=15 ttl=64 time=0.065 ms
64 bytes from 10.10.16.1: icmp_seq=16 ttl=64 time=0.043 ms
64 bytes from 10.10.16.1: icmp_seq=17 ttl=64 time=0.137 ms
64 bytes from 10.10.16.1: icmp_seq=18 ttl=64 time=0.021 ms
64 bytes from 10.10.16.1: icmp_seq=19 ttl=64 time=0.077 ms
64 bytes from 10.10.16.1: icmp_seq=20 ttl=64 time=0.162 ms
64 bytes from 10.10.16.1: icmp_seq=21 ttl=64 time=0.072 ms
64 bytes from 10.10.16.1: icmp_seq=22 ttl=64 time=0.096 ms
64 bytes from 10.10.16.1: icmp_seq=23 ttl=64 time=0.073 ms
64 bytes from 10.10.16.1: icmp_seq=24 ttl=64 time=0.097 ms
64 bytes from 10.10.16.1: icmp_seq=25 ttl=64 time=0.030 ms
64 bytes from 10.10.16.1: icmp_seq=26 ttl=64 time=0.060 ms
64 bytes from 10.10.16.1: icmp_seq=27 ttl=64 time=0.135 ms
64 bytes from 10.10.16.1: icmp_seq=28 ttl=64 time=0.073 ms
64 bytes from 10.10.16.1: icmp_seq=29 ttl=64 time=0.098 ms
64 bytes from 10.10.16.1: icmp_seq=30 ttl=64 time=0.058 ms
64 bytes from 10.10.16.1: icmp_seq=31 ttl=64 time=0.079 ms
64 bytes from 10.10.16.1: icmp_seq=32 ttl=64 time=0.210 ms
64 bytes from 10.10.16.1: icmp_seq=33 ttl=64 time=0.062 ms
64 bytes from 10.10.16.1: icmp_seq=34 ttl=64 time=0.018 ms
64 bytes from 10.10.16.1: icmp_seq=35 ttl=64 time=0.029 ms
64 bytes from 10.10.16.1: icmp_seq=36 ttl=64 time=0.034 ms
64 bytes from 10.10.16.1: icmp_seq=37 ttl=64 time=0.039 ms
64 bytes from 10.10.16.1: icmp_seq=38 ttl=64 time=0.049 ms
64 bytes from 10.10.16.1: icmp_seq=39 ttl=64 time=0.105 ms
64 bytes from 10.10.16.1: icmp_seq=40 ttl=64 time=0.113 ms
64 bytes from 10.10.16.1: icmp_seq=41 ttl=64 time=0.021 ms
64 bytes from 10.10.16.1: icmp_seq=42 ttl=64 time=0.026 ms
64 bytes from 10.10.16.1: icmp_seq=43 ttl=64 time=0.117 ms
64 bytes from 10.10.16.1: icmp_seq=44 ttl=64 time=0.065 ms
64 bytes from 10.10.16.1: icmp_seq=45 ttl=64 time=0.021 ms
64 bytes from 10.10.16.1: icmp_seq=46 ttl=64 time=0.036 ms
64 bytes from 10.10.16.1: icmp_seq=47 ttl=64 time=0.026 ms
64 bytes from 10.10.16.1: icmp_seq=48 ttl=64 time=0.019 ms
64 bytes from 10.10.16.1: icmp_seq=49 ttl=64 time=0.062 ms
64 bytes from 10.10.16.1: icmp_seq=50 ttl=64 time=0.134 ms

--- 10.10.16.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49909ms
rtt min/avg/max/mdev = 0.014/0.071/0.218/0.047 ms
