PING 10.10.8.1 (10.10.8.1) 56(84) bytes of data.
64 bytes from 10.10.8.1: icmp_seq=1 ttl=63 time=5317 ms
64 bytes from 10.10.8.1: icmp_seq=7 ttl=63 time=0.078 ms
64 bytes from 10.10.8.1: icmp_seq=4 ttl=63 time=3264 ms
64 bytes from 10.10.8.1: icmp_seq=2 ttl=63 time=5959 ms
64 bytes from 10.10.8.1: icmp_seq=8 ttl=63 time=0.064 ms
64 bytes from 10.10.8.1: icmp_seq=3 ttl=63 time=5705 ms
64 bytes from 10.10.8.1: icmp_seq=9 ttl=63 time=0.063 ms
64 bytes from 10.10.8.1: icmp_seq=5 ttl=63 time=4583 ms
64 bytes from 10.10.8.1: icmp_seq=6 ttl=63 time=4086 ms
64 bytes from 10.10.8.1: icmp_seq=10 ttl=63 time=701 ms
64 bytes from 10.10.8.1: icmp_seq=11 ttl=63 time=0.076 ms
64 bytes from 10.10.8.1: icmp_seq=12 ttl=63 time=0.049 ms
64 bytes from 10.10.8.1: icmp_seq=13 ttl=63 time=0.064 ms
64 bytes from 10.10.8.1: icmp_seq=14 ttl=63 time=0.049 ms
64 bytes from 10.10.8.1: icmp_seq=15 ttl=63 time=0.041 ms
64 bytes from 10.10.8.1: icmp_seq=16 ttl=63 time=0.034 ms
64 bytes from 10.10.8.1: icmp_seq=17 ttl=63 time=0.050 ms
64 bytes from 10.10.8.1: icmp_seq=18 ttl=63 time=0.067 ms
64 bytes from 10.10.8.1: icmp_seq=19 ttl=63 time=0.047 ms
64 bytes from 10.10.8.1: icmp_seq=20 ttl=63 time=0.073 ms
64 bytes from 10.10.8.1: icmp_seq=21 ttl=63 time=0.045 ms
64 bytes from 10.10.8.1: icmp_seq=22 ttl=63 time=0.039 ms
64 bytes from 10.10.8.1: icmp_seq=23 ttl=63 time=0.076 ms
64 bytes from 10.10.8.1: icmp_seq=24 ttl=63 time=0.035 ms
64 bytes from 10.10.8.1: icmp_seq=25 ttl=63 time=0.147 ms
64 bytes from 10.10.8.1: icmp_seq=26 ttl=63 time=0.133 ms
64 bytes from 10.10.8.1: icmp_seq=27 ttl=63 time=0.055 ms
64 bytes from 10.10.8.1: icmp_seq=28 ttl=63 time=0.180 ms
64 bytes from 10.10.8.1: icmp_seq=29 ttl=63 time=0.044 ms
64 bytes from 10.10.8.1: icmp_seq=30 ttl=63 time=0.104 ms
64 bytes from 10.10.8.1: icmp_seq=31 ttl=63 time=0.048 ms
64 bytes from 10.10.8.1: icmp_seq=32 ttl=63 time=0.216 ms
64 bytes from 10.10.8.1: icmp_seq=33 ttl=63 time=0.049 ms
64 bytes from 10.10.8.1: icmp_seq=34 ttl=63 time=0.068 ms
64 bytes from 10.10.8.1: icmp_seq=35 ttl=63 time=0.041 ms
64 bytes from 10.10.8.1: icmp_seq=36 ttl=63 time=0.036 ms
64 bytes from 10.10.8.1: icmp_seq=37 ttl=63 time=0.060 ms
64 bytes from 10.10.8.1: icmp_seq=38 ttl=63 time=0.038 ms
64 bytes from 10.10.8.1: icmp_seq=39 ttl=63 time=0.169 ms
64 bytes from 10.10.8.1: icmp_seq=40 ttl=63 time=0.063 ms
64 bytes from 10.10.8.1: icmp_seq=41 ttl=63 time=0.042 ms
64 bytes from 10.10.8.1: icmp_seq=42 ttl=63 time=0.255 ms
64 bytes from 10.10.8.1: icmp_seq=43 ttl=63 time=0.102 ms
64 bytes from 10.10.8.1: icmp_seq=44 ttl=63 time=0.168 ms
64 bytes from 10.10.8.1: icmp_seq=45 ttl=63 time=0.133 ms
64 bytes from 10.10.8.1: icmp_seq=46 ttl=63 time=0.135 ms
64 bytes from 10.10.8.1: icmp_seq=47 ttl=63 time=0.190 ms
64 bytes from 10.10.8.1: icmp_seq=48 ttl=63 time=0.177 ms
64 bytes from 10.10.8.1: icmp_seq=49 ttl=63 time=0.145 ms
64 bytes from 10.10.8.1: icmp_seq=50 ttl=63 time=0.127 ms

--- 10.10.8.1 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50018ms
rtt min/avg/max/mdev = 0.034/592.457/5959.904/1597.859 ms, pipe 6
